"Author","Gender"
"Baker, Matthew","male"
"Barnett, Mac","male"
"Barnholdt, Lauren","female"
"Barron, Rena","female"
"Beatty, Robert","male"
"Beaty, Andrea","female"
"Benchley, Peter","male"
"Benton, Jim","male"
"Bhathena, Tanaz","female"
"Blacker, Terence","male"
"Blake, Ashley Herring","queer female"
"Blake, Kendare","female"
"Blumenthal, Karen","female"
"Bowling, Dusti","female"
"Braden, Ann","female"
"Braswell, Liz","female"
"Bray, Libba","female"
"Brooks, Max","male"
"Brosgol, Vera","female"
"Brown, Echo","female"
"Brown, Jaye Robin","female"
"Brown, Marc","male"
"Brown, Pierce","male"
"Bruchac, Joseph","male"
"Bruel, Nick","male"
"Buchta, Heather","female"
"Burgess, Melvin","male"
"Capetta, A. R.","non-binary"
"Carter, Caela","female"
"Carter, TE","N/A"
"Cast, P. C.","female"
"Chainani, Soman","male"
"Chevalier, Tracy","female"
"Chung, Arree","male"
"Clayton, Dhonielle","female"
"Clowes, Daniel","male"
"Cohn, Rachel","female"
"Colasanti, Susane","female"
"Coles, Jay","male"
"Corey, James S. A.","male"
"Cormier, Robert","male"
"Cross, Kady","female"
"Cushman, Karen","female"
"Cusick, John M.","male"
"Dahl, Roald","male"
"Danforth, Emily M.","female"
"Dasgupta, Sayantani","female"
"Daughtry, Mikki","female"
"Dayton, Arwen Elys","female"
"de la Peña, Matt","male"
"Dee, Barbara","female"
"Deonn, Tracy","female"
"Dessen, Sarah","female"
"Dimaline, Cherie","female"
"Donaldson, Jennifer","female"
"Dorris, Michael","male"
"Douglass, Ryan","male"
"Drake, Julia","female"
"Duran, Rye","non-binary"
"Edgers, Geoff","male"
"Elkeles, Simone","female"
"Ellis, Deborah","female"
"Emerson, Marcus","male"
"Erickson-Schroth, Laura","trans/non-binary"
"Feder, Tyler","male"
"Federle, Tim","male"
"Fennell, Saraciea J.","female"
"Fernández, Kelly","female"
"Fipps, Lisa","female"
"Flom, Jason","male"
"Flood, Nancy Bo","female"
"Flynn, Gillian","female"
"Foody, Amanda","female"
"Forman, Gayle","female"
"Fox, Paula","female"
"Frank, Pat","male"
"Friend, Natasha","female"
"Garcia, Kami","female"
"Garrett, Camryn","female"
"George, Jean Craighead","female"
"Gibbs, Stuart","male"
"Girard, M-E","female"
"Glines, Abbi","female"
"Goffney, Joya","female"
"Gonzales, Sophie","female"
"Goodkind, Terry","male"
"Grehan, Meg","non-binary"
"Grossman, Lev","male"
"Hale, Shannon","female"
"Hamilton, Laurell K.","female"
"Han, Jenny","female"
"Hatmaker, Jen","female"
"Henkes, Kevin","male"
"Henstra, Sarah","female"
"Higuera, Donna Barba","female"
"Howe, James","male"
"Hunter, C. C.","female"
"Hutchinson, Shaun David","male"
"Ignatow, Amy","female"
"Iturbe, Antonio","male"
"Jackson, Holly","female"
"Jaigirdar, Adiba","queer female"
"Jamieson, Victoria","female"
"Jemisin, N. K.","female"
"Jenkins, Emily","female"
"Jensen, Kelly","female"
"Jimenez, Abby","female"
"Johnson, Alaya Dawn","female"
"Johnson, Lana Wood","female"
"Jonell, Lynee","female"
"Jonsberg, Barry","male"
"Kagawa, Julie","female"
"Kapit, Sarah","female"
"Karolides, Nicholas J.","male"
"Kelly, Erin Entrada","female"
"Kerouac, Jack","male"
"Kessler, Liz","female"
"Khorram, Adib","male"
"King, Stephen","male"
"Knowles, Jo","female"
"Koontz, Dean R.","male"
"Krakauer, Jon","male"
"LaCour, Nina","female"
"LaFevers, Robin","female"
"Lake, Nick","male"
"Langston-George, Rebecca","female"
"Lapinski, L.D.","non-binary"
"Larbalestier, Justine","female"
"Larsson, Stieg","male"
"Lee, C. B.","non-binary"
"Lee, Victoria","female"
"Legrand, Claire","female"
"Leno, Katrina","female"
"Levy, Dana Alison","female"
"Lia Block, Francesca","female"
"Libenson, Terri","female"
"Liggett, Kim","female"
"Little Badger, Darcie","female"
"Lord, Cynthia","female"
"Ludwig, Trudy","female"
"Lutz, Lisa","female"
"Mackler, Carolyn","female"
"Magoon, Kekla","female"
"Martin, George R. R.","male"
"Mashima, Hiro","male"
"Mason, Jane B.","female"
"McAnulty, Stacy","female"
"McGarry, Katie","female"
"McGee, Katharine","female"
"McGinnis, Mindy","female"
"McGuire, Seanan","non-binary"
"McMurty, Larry","male"
"Mead, Richelle","female"
"Melleby, Nicole","female"
"Meltzer, Brad","male"
"Meyer, L.A.","male"
"Meyer, Marissa","female"
"Meyer, Stephenie","female"
"Miller, Sam J.","male"
"Monster, Sfe R.","non-binary"
"Moore, David Barclay","male"
"Moracho, Cristina","female"
"Munsch, Robert","male"
"Murphy, Julie","female"
"Myers, Bill","male"
"Myers, Walter Dean","male"
"Mylnowski, Sarah","female"
"Naylor, Phyllis Reynolds","female"
"Ness, Patrick","male"
"Nguyen, Trung Le","non-binary"
"Nowlin, Laura","female"
"O'Connor, Flannery","female"
"O'Neill, K.","non-binary"
"Ockler, Sarah","female"
"Ogle, Rex","male"
"Oh, Ellen","female"
"Ormsbee, Kathryn","female"
"Orwell, George","male"
"Oseman, Alice","aromantic asexual female"
"Oshiro, Mark","non-binary"
"Painter, Lynn","female"
"Palacio, R.J.","female"
"Panetta, Kevin","male"
"Parr, Maria","female"
"Pascal, Francine","female"
"Pascal, Janet B.","female"
"Patterson, James","male"
"Paulsen, Gary","male"
"Perkins, Stephanie","female"
"Peters, Julie Anne","female"
"Petrus, Junauda","queer female"
"Pfister, Marcus","male"
"Philbrick, Rodman","male"
"Pilkey, Dav","male"
"Pinguicha, Diana","female"
"Poehler, Amy","female"
"Polonsky, Ami","female"
"Prince, Liz","non-binary"
"Purdie, Kathryn","female"
"Quach, Michelle","female"
"Quin, Sara","queer female"
"Reynolds, Marilyn","female"
"Rice, Anne","female"
"Rivers, Francine","female"
"Robertson, Andrea","female"
"Rodrigues, Carmen","female"
"Rodriquez, Luis J.","male"
"Romanoff, Zan","non-binary"
"Rose, Arden","female"
"Rosewater, Kit","non-binary"
"Sachar, Louis","male"
"Saeed, Aisha","female"
"Sáenz, Benjamin Alire","male"
"Safi, Aminah Mae","female"
"Sanchez, Alex","male"
"Sass, A.J.","non-binary"
"Schachte, Kylie","female"
"Schaeffer, Rebecca","female"
"Scheidt, Erica Lorraine","queer female"
"Schmidt, Gary D.","male"
"Schwartz, Alvin","male"
"Sell, Chad","male"
"Sendak, Maurice","male"
"Sepetys, Ruta","female"
"Sharmat, Marjorie Weinman","female"
"Shaw, Susan","female"
"Shusterman, Neal","male"
"Sima, Jessie","female"
"Simpson, Dana","trans woman"
"Smith, Betty","female"
"Smith, Cynthia Leitich","female"
"Smith, Patti","female"
"Sollins, Susan","female"
"Solo Quedo Nuestra Historia","N/A"
"Sparks, Nicholas","male"
"Spinelli, Jerry","male"
"Stead, Philip C.","male"
"Stead, Rebecca","female"
"Stephens, Olivia","female"
"Stiefvater, Maggie","female"
"Stoeve, Ray","non-binary"
"Styron, William","male"
"Sugiura, Misa","female"
"Sutanto, Jesse Q.","female"
"Swofford, Anthony","male"
"Tahir, Sabaa","female"
"Taylor, Jazz","non-binary"
"Terciero, Rey","non-binary"
"the regulators","N/A"
"Thompson, Craig","male"
"Tokuda-Hall, Maggie","female"
"Ukazu, Ngozi","female"
"Underwood, Deborah","female"
"van Otterloo, Ash","non-binary"
"Vaughan, Brian K.","male"
"Velez, Angela","female"
"von Ziegesar, Cecily","female"
"Von Ziegesar, Cecily","female"
"Watson, Renee","female"
"Weeks, Sarah","female"
"Wertherim, L. Jon","male"
"Westerfeld, Scott","male"
"Williams, Alicia D.","female"
"Wrede, Patricia C.","female"
"Yee, Lisa","female"
"Yoon, Helen","female"
"Zhao, Xiran Jay","non-binary"
"Zoboi, Ibi","female"
"Alexander, Kwame","male"
"Almond, David","male"
"Anderson, M.T.","male"
"Anonymous","N/A"
"Bagdasarian, Adam","male"
"Barnes, Jennifer Lynn","female"
"Bartoletti, Susan Campbell","female"
"Barzak, Christopher","male"
"Block, Francesca Lia","female"
"Blum, Jenna","female"
"Booth, Coe","female"
"Boulley, Angeline","female"
"Brooks, Kevin","male"
"Card, Orson Scott","male"
"Cast, P.C.","female"
"Clark, Mary Higgins","female"
"Clarke, Arthur C.","male"
"Clavell, James","male"
"Cole, Brock","male"
"Conroy, Pat","male"
"Crew, Linda","female"
"Crutcher, Chris","male"
"Dahl, Roal","male"
"Danticat, Edwidge","female"
"Davis, Charlotte Nicole","female"
"de la Cruz, Melissa","female"
"Defoe, Daniel","male"
"Doller, Trish","female"
"Draper, Sharon M.","female"
"Duane, Diane","female"
"Dumas, Alexandre","male"
"Echols, Jennifer","female"
"Ellison, Ralph","male"
"Esquivel, Laura","female"
"Evanovich, Janet","female"
"Farrell, S.L.","male"
"Fick, Kit","female"
"Fitzpatrick, Becca","female"
"Flynn, L.E.","female"
"Frazier, Charles","male"
"Frey, James","male"
"Gaetz, Dayle Campbell","female"
"Gaiman, Neil","male"
"Gaines, Ernest J.","male"
"Garsee, Jeannine","female"
"Geerling, Marjetta","female"
"Giles, Gail","female"
"Gingher, Marianne","female"
"Golden, Arthur","male"
"Goldsmith, Olivia","female"
"Goodman, Alison","female"
"Goodman, Jessica","female"
"Grant, Michael","male"
"Gray, Claudia","female"
"Grishman, John","male"
"Groom, Winston","male"
"Hale, Kathleen","female"
"Hanauer, Cathy","female"
"Hart, John","male"
"Hartzler, Aaron","male"
"Haruf, Kent","male"
"Hawkins, Paula","female"
"Hegi, Ursula","female"
"Heller, Joseph","male"
"Hemingway, Ernest","male"
"Herbert, Brian","male"
"Herbert, Frank","male"
"Hing Wen, Abigail","female"
"Hoban, Julia","female"
"Hodge, Rosamund","female"
"Hodkin, Michelle","female"
"Hopkinson, Nalo","female"
"Hurston, Zora Neale","female"
"Huxley, Aldous","male"
"Karlin, Wayne","male"
"Kellerman, Jonathan","male"
"Kelman, Judith","female"
"Kern, Peggy","female"
"Kerr, M.E.","female"
"Kesey, Ken","male"
"Keyes, Daniel","male"
"Kidd, Sue Monk","female"
"Kingsolver, Barbara","female"
"Kline, Christina Baker","female"
"Konigsburg, E.L.","female"
"Kosinski, Jerzy N.","male"
"L'Engle, Madeline","female"
"Lamb, Wally","male"
"Leavitt, Martine","female"
"Lebert, Benjamin","male"
"Lee, Darrien","female"
"Lee, Stacey","female"
"Levy, Michelle","female"
"Lipsyte, Robert","male"
"Lynch, Chris","male"
"Mac, Carrie","female"
"Mahurin, Shelby","female"
"Mailer, Norman","male"
"Mardell, Ashley","non-binary"
"Marr, Melissa","female"
"Marsden, John","male"
"Martin, Steve","male"
"Mazer, Norma Fox","female"
"McBride, Lish","female"
"McCorkle, Jill","female"
"McCoy, Mary","female"
"McGovern, Cammie","female"
"McKinney-Whetstone, Diane","female"
"McMillan, Terry","female"
"Mitchell, Saundra","female"
"Moore, Christopher","male"
"Moore, Peter G.","male"
"Napoli, Donna Jo","female"
"Neenan, Colin","male"
"Nelson, Jandy","female"
"Nelson, Theresa","female"
"Newth, Mette","female"
"Newton, Suzanne","female"
"Nicholson, Joy","female"
"Norton, Preston","male"
"Oakes, Stephanie","female"
"Oates, Joyce Carol","female"
"Oliver, Lauren","female"
"Ostertag, Molly Knox","non-binary"
"Packer, Ann","female"
"Papademetriou, Lisa","female"
"Parks, Gordon","male"
"Peet, Mal","male"
"Portman, Frank","male"
"Pullman, Philip","male"
"Quindlen, Anna","female"
"Revis, Beth","female"
"Robbins, Tom","male"
"Roberts, Nora","female"
"Rottman, S.L.","female"
"Sanders, Lawrence","male"
"Schmatz, Pat","non-binary"
"Schneider, Robyn","female"
"Schwab, Victoria","non-binary"
"See, Lisa","female"
"Silko, Leslie Marmon","female"
"Smith, Andrew","male"
"Sones, Sonya","female"
"Souljah, Sister","female"
"Stone, Irving","male"
"Straub, Peter","male"
"Thomas, Rob","male"
"Thurman, Wallace","male"
"Tolstoy, Leo","male"
"Toriyama, Akira","male"
"Ullman, James Ramsey","male"
"Updike, John","male"
"Walker, Alice","female"
"Walker, Margaret","female"
"Werlin, Nancy","female"
"Whaley, John Corey","male"
"White, T.H.","male"
"Wieler, Diana","female"
"Williams-Garcia, Rita","female"
"Williams, Lori Aurelia","female"
"Young, William P.","male"
"Yu, Mimi","female"
"Zappia, Francesca","female"
"Zentner, Jeff","male"
"Adichie, Chimamanda Ngozi","female"
"Clare, Cassandra","female"
"Cline, Ernest","male"
"Daldry, Jeremy","male"
"Drill, Esther","female"
"French, Gillian","female"
"Heinlein, Robert","male"
"King, A. S.","female"
"Koertge, Ron","male"
"Kwok, Jean","female"
"Nabokov, Vladimir","male"
"Pérez, Ashley Hope","female"
"Quintero, Isabel","female"
"Sapphire","female"
"Stassen, Jean-Philippe","male"
"Steel, Danielle","female"
"Stein, Garth","male"
"Abbott, Hailey","female"
"Abbott, Tony","male"
"Abdel-Fattah, Randa","female"
"Abrahams, Peter","male"
"Abrams, Amir.","male"
"Aceves, Fred","male"
"Adams, Douglas","male"
"Adams, Richard","male"
"Adeyemi, Tomi","female"
"Adler, Dahlia","female"
"Adoff, Jaime","male"
"Adornetto, Alexandra","female"
"Ahmadi, Arvin","male"
"Ahmed, Samira","female"
"Alameda, Courtney","female"
"Albert, Melissa","female"
"Albin, Gennifer","female"
"Alegría, Malín.","female"
"Alender, Katie","female"
"Alexander, Alma","female"
"Alexander, John T.","male"
"Aliki","female"
"Allan, Tony","male"
"Allen, Kate","female"
"Allen, Rachael","female"
"Allende, Isabel","female"
"Allison, Anthony","male"
"Alsaid, Adi","male"
"Alten, Steve","male"
"Ameriie","female"
"Amir","male"
"Andersen, Liselotte","female"
"Anderson, Jodi Lynn","female"
"Anderson, M. T.","male"
"Anderson, Natalie C.","female"
"Anderson, R. J.","female"
"Andrews, V. C.","female"
"Anthony, Piers","male"
"Appignanesi, Richard","male"
"Archer, Jeffrey","male"
"Arcos, Carrie","female"
"Armstrong, Kelley","female"
"Arnold, David","male"
"Arsenault, Emily","female"
"Asphyxia","non-binary"
"Aster, Alex","non-binary"
"Athill, Diana","female"
"Atta, Dean","male"
"Avasthi, Swati","female"
"Avery, Lara","female"
"Aveyard, Victoria","female"
"Bacigalupi, Paolo","male"
"Backman, Fredrik","male"
"Bagieu, Pénélope","female"
"Bailey, Blake","male"
"Baker, Chandler","male"
"Baldacci, David","male"
"Baldwin, James","male"
"Ballard, Alexandra","female"
"Bambara, Toni","female"
"Bardi, Abby","female"
"Bardugo, Leigh","female"
"Barker, Michelle","female"
"Barnes, John","male"
"Barnhill, Kelly","female"
"Barr, Emily","female"
"Barry, Max","male"
"Bashardoust, Melissa","female"
"Bassett, Kate","female"
"Bates, Laura","female"
"Bauer, Cat","female"
"Bayerl, Katie","female"
"Beals, Melba","female"
"Beam, Cris","trans man"
"Bean, Lexie","non-binary"
"Bedford, Martyn","male"
"Bell, Ted","male"
"Bennett-Wealer, Sara","female"
"Bennett, James W.","male"
"Bennett, Jenn","female"
"Bennett, Marguerite","female"
"Benway, Robin","female"
"Berendt, John","male"
"Berk, Josh","male"
"Berlatsky, Noah","male"
"Bernstein, Sara Tuvel","female"
"Berry, Julie","female"
"Bick, Ilsa J.","female"
"Bingham, Jane","female"
"Birdseye, Tom","male"
"Biren, Sara L.","female"
"Black, Holly","female"
"Blackman, Malorie","female"
"Blake, Elly","female"
"Blake, Jillian","female"
"Bloom, Harold","male"
"Blundell, Judy","female"
"Blythe, Carolita","female"
"Boecker, Virginia","female"
"Bolden, Tonya","female"
"Bolin, Carrie","female"
"Boorman, Kate A.","female"
"Boose, Greg","male"
"Bouchard, Elizabeth","female"
"Bow, Erin","female"
"Bowman, Akemi Dawn","female"
"Bradbury, Ray","male"
"Bradford, Ernle Dusgate Selby","male"
"Bradley, Kimberly Brubaker","female"
"Brainard, Cecilia Manguerra","female"
"Brande, Robin","female"
"Brant, Wendy","female"
"Brashares, Ann","female"
"Brennan, Sarah Rees","female"
"Brewer, Derek","male"
"Brezenoff, Steven","male"
"Bridgers, Sue Ellen","female"
"Bridges, Robin","female"
"Brindley, John","male"
"Brink, Carol Ryrie","female"
"Britton, Felicity","female"
"Brodsky, Daniella","female"
"Brodsky, Demetra","female"
"Brody, Jessica","female"
"Bronte, Emily","female"
"Brown, Dan","male"
"Brown, Jennifer","female"
"Brown, Scott","male"
"Buckley, Michael","male"
"Bull, Norman J.","male"
"Bunch, Bryan","male"
"Burdett, John","male"
"Burke, James Lee","male"
"Burnie, David","male"
"Burns, Laura J.","female"
"Burroughs, Augusten","male"
"Bushnell, Candace","female"
"Butcher, Jim","male"
"Buxbaum, Julie","female"
"Byers, Ann","female"
"Cabot, Meg","female"
"Cagan, Kayla","female"
"Calame, Don","male"
"Caldwell, Ian","male"
"Caldwell, S. A.","female"
"Caletti, Deb","female"
"Callender, Kacen","non-binary"
"Cameron, Peter","male"
"Cameron, Sharon","female"
"Camus, Albert","male"
"Capin, Hannah","female"
"Capps, Michael","male"
"Carleson, J. C.","female"
"Carlton, Susan Kaplan","female"
"Carmack, Cora","female"
"Carman, Patrick","male"
"Carriger, Gail","female"
"Carroll, Georgie","female"
"Carter, Aimée","female"
"Carter, Forrest","male"
"Cary, Kate","female"
"Cass, Kiera","female"
"Cassidy, Anne","female"
"Castellucci, Cecil","female"
"Castro, Tony","male"
"Cavallaro, Brittany","female"
"Cefrey, Holly","female"
"Chambers, Aidan","non-binary"
"Charaipotra, Sona","female"
"Chase, Paula","female"
"Chastain, Emma","female"
"Chee, Traci","female"
"Cherry, Alison","female"
"Chiasson, John","male"
"Child, Lee","male"
"Cho, Kat","female"
"Choi, Mary H. K.","female"
"Choi, Mary H.K.","female"
"Chokshi, Roshani","female"
"Christie, Agatha","female"
"Chupeco, Rin","non-binary"
"Cisneros, Sandra","female"
"Clement-Moore, Rosemary","female"
"Coates, Ta-Nehisi","male"
"Coben, Harlan","male"
"Cohen, Joshua","male"
"Colbert, Brandy","female"
"Collins, Renee","female"
"Conaghan, Brian","male"
"Cook, Hope","female"
"Cook, Karin","female"
"Copplestone, Trewin","male"
"Cornwell, Betsy","female"
"Cornwell, Patricia","female"
"Corthron, Kara Lee","female"
"Cosby, S. A.","male"
"Cosimano, Elle","female"
"Cotugno, Katie","female"
"Coulthurst, Audrey","female"
"Creech, Sharon","female"
"Crichton, Michael","male"
"Crispell, Susan Bishop","female"
"Cronin, Justin","male"
"Cross, Julie","female"
"Darrows, Eva","female"
"Dashner, James","male"
"Daud, Somaiya","female"
"Dawe, Ted","male"
"Day, Malcolm","male"
"Day, Meredith","female"
"De Bernières, Louis","male"
"de Gramont, Nina","female"
"de Koster, Katie","female"
"de la Pena, Matt","male"
"De Leon, Jennifer","female"
"De Lint, Charles","male"
"de Nanteuil, Luc","male"
"Dellaira, Ava","female"
"Dembicki, Matt","male"
"Demetrios, Heather","female"
"DeMille, Nelson","male"
"Deming, Sarah","female"
"Dennard, Susan","female"
"DePaola, Tomie","male"
"Deriso, Christine Hurley","female"
"DeStefano, Lauren","female"
"Deuker, Carl","male"
"Devlin, Calla","female"
"Dickens, Charles","male"
"Dickins, Rosie","female"
"Dickinson, John","male"
"Dirkes, Craig","male"
"Doak, Robin S.","female"
"Dockter, Debra","female"
"Doctorow, Cory","male"
"Doeden, Matt","male"
"Dogar, Sharon","female"
"Dolan, Sean","male"
"Dominick, Andie","female"
"Donald, David Herbert","male"
"Donne, Alexa","female"
"Dowd, Siobhan","female"
"Downham, Jenny","female"
"Downing, Antonio Michael","male"
"Doyle, Arthur Conan","male"
"Doyle, Larry","male"
"Druick, Douglas W.","male"
"Duncan, Alexandra","female"
"Earls, Nick","male"
"Eddings, David","male"
"Editors of Merriam-Webster","N/A"
"Editors of the American Heritage dictionaries","N/A"
"Ee, Susan","female"
"Eggers, Dave","male"
"Elliott, David","male"
"Elliott, Kate","female"
"Ellis, Kat","female"
"Ellison, Kate","female"
"Elston, Ashley","female"
"Emmich, Val","male"
"Evans, Nicholas","male"
"Eyman, Scott","male"
"Ezell, Heather","female"
"Falkner, Brian","male"
"Fantaskey, Beth","female"
"Farley, Christopher John","male"
"Faulkner, William","male"
"Felton, Bruce","male"
"Ferguson, Alane","female"
"Ferman, Edward L.","male"
"Fiedler, Lisa","female"
"Finlay, Adrianne","female"
"Fisher, Catherine","female"
"Fitzgerald, F. Scott","male"
"Fitzgerald, Laura Marx","female"
"Fitzpatrick, Huntley","male"
"Flaubert, Gustave","male"
"Flaum, Eric","male"
"Follain, John","male"
"Follett, Ken","male"
"Fontes, Justine","female"
"Forest, Laurie","female"
"Forna, Namina","female"
"Fowler, Karen Joy","female"
"Fowley-Doyle, Moïra","female"
"Francis, Dick","male"
"Frank, Anne","female"
"Franzen, Jonathan","male"
"Fredericks, Mariah","female"
"Fromm, Erick","male"
"Fuentes, Carlos","male"
"Funke, Cornelia","female"
"Gabaldon, Diana","female"
"Ganeri, Anita","female"
"Garber, Romina","female"
"Garber, Stephanie","female"
"García Márquez, Gabriel","male"
"Gardiner, John Eliot","male"
"Gattis, Ryan","male"
"Geary, Rick","male"
"Gebhart, Ryan","male"
"Geiger, J. C.","male"
"George, Alice L.","female"
"George, Margaret","female"
"Gessner, Marina","female"
"Gibbons, Kaye","female"
"Gilb, Dagoberto","male"
"Gilbran, Lahlil","male"
"Giles, Amy","female"
"Giles, Lamar","male"
"Gillman, Melanie","female"
"Gish, Steven","male"
"Glaser, Milton","male"
"Glasgow, Kathleen","female"
"Glenday, Craig","male"
"Godberson, Anna","female"
"Going, K. L.","female"
"Going, K.L.","female"
"Golding, William","male"
"Gonsalves, Florence","female"
"Gonzalez, Julie","female"
"Gordon, Richard","male"
"Gornall, Louise","female"
"Grace, Amanda","female"
"Grahame-Smith, Seth","male"
"Gratton, Tessa","female"
"Gray, Libba","female"
"Green, Hannah","female"
"Green, Sally","female"
"Grennan, Conor","male"
"Griffin, Adele","female"
"Griffin, Bethany","female"
"Griffin, John Howard","male"
"Griffin, Paul","male"
"Grisham, John","male"
"Guterson, David","male"
"Guy, Rosa","female"
"Hahn, Mary Downing","female"
"Hall, Maggie","female"
"Hallam, Elizabeth","female"
"Handler, Daniel","male"
"Hanft, Joshua E.","male"
"Hardy, Thomas","male"
"Harkaway, Nick","male"
"Mailer, Norman","male"
"Mardell, Ashley","non-binary"
"Marr, Melissa","female"
"Marsden, John","male"
"Martin, Steve","male"
"Mazer, Norma Fox","female"
"McBride, Lish","female"
"McCorkle, Jill","female"
"McCoy, Mary","female"
"McGovern, Cammie","female"
"McKinney-Whetstone, Diane","female"
"McMillan, Terry","female"
"Mitchell, Saundra","female"
"Moore, Christopher","male"
"Moore, Peter G.","male"
"Napoli, Donna Jo","female"
"Neenan, Colin","male"
"Nelson, Jandy","female"
"Nelson, Theresa","female"
"Newth, Mette","female"
"Newton, Suzanne","female"
"Nicholson, Joy","female"
"Norton, Preston","male"
"Oakes, Stephanie","female"
"Oates, Joyce Carol","female"
"Oliver, Lauren","female"
"Ostertag, Molly Knox","non-binary"
"Packer, Ann","female"
"Papademetriou, Lisa","female"
"Parks, Gordon","male"
"Peet, Mal","male"
"Portman, Frank","male"
"Pullman, Philip","male"
"Quindlen, Anna","female"
"Revis, Beth","female"
"Robbins, Tom","male"
"Roberts, Nora","female"
"Rottman, S.L.","female"
"Sanders, Lawrence","male"
"Schmatz, Pat","non-binary"
"Schneider, Robyn","female"
"Schwab, Victoria","non-binary"
"See, Lisa","female"
"Silko, Leslie Marmon","female"
"Smith, Andrew","male"
"Sones, Sonya","female"
"Souljah, Sister","female"
"Stone, Irving","male"
"Straub, Peter","male"
"Thomas, Rob","male"
"Thurman, Wallace","male"
"Tolstoy, Leo","male"
"Toriyama, Akira","male"
"Ullman, James Ramsey","male"
"Updike, John","male"
"Walker, Alice","female"
"Walker, Margaret","female"
"Werlin, Nancy","female"
"Whaley, John Corey","male"
"White, T.H.","male"
"Wieler, Diana","female"
"Williams-Garcia, Rita","female"
"Williams, Lori Aurelia","female"
"Young, William P.","male"
"Yu, Mimi","female"
"Zappia, Francesca","female"
"Zentner, Jeff","male"
"Adichie, Chimamanda Ngozi","female"
"Clare, Cassandra","female"
"Cline, Ernest","male"
"Daldry, Jeremy","male"
"Drill, Esther","female"
"French, Gillian","female"
"Heinlein, Robert","male"
"King, A. S.","female"
"Koertge, Ron","male"
"Kwok, Jean","female"
"Nabokov, Vladimir","male"
"Pérez, Ashley Hope","female"
